x,y
253135.7,6651583.3
253132.9,6651585.1
253130.7,6651586.6
253128.2,6651589.1
253126.0,6651592.0
253123.9,6651594.7
253122.4,6651597.2
253121.3,6651600.0
253120.3,6651603.0
253119.7,6651606.2
253119.3,6651609.9
253119.4,6651612.7
253119.6,6651616.1
253119.9,6651619.8
253120.3,6651623.3
253120.6,6651627.3
253120.9,6651630.9
253121.3,6651634.5
253122.1,6651638.6
253122.8,6651643.1
253123.2,6651647.0
253123.7,6651651.5
253124.3,6651655.7
253124.7,6651659.8
253125.2,6651664.0
253125.8,6651668.3
253126.7,6651673.4
253127.2,6651678.2
253128.0,6651682.9
253128.7,6651688.0
253129.0,6651691.7
253129.5,6651695.8
253130.1,6651700.0
253131.1,6651705.5
253132.0,6651711.1
253133.0,6651717.1
253133.7,6651722.0
253134.6,6651726.5
253135.5,6651731.5
253136.0,6651735.3
253136.991,6651739.388
253136.991,6651739.388
253137.7,6651741.1
253138.8,6651743.4
253140.2,6651746.1
253141.4,6651748.6
253144.5,6651753.7
253147.5,6651757.7
253150.6,6651762.2
253154.0,6651766.3
253158.1,6651770.9
253162.2,6651776.0
253165.5,6651779.9
253169.1,6651783.6
253172.1,6651787.0
253175.5,6651791.5
253179.0,6651795.7
253182.2,6651799.5
253186.2,6651803.7
253190.2,6651808.2
253193.4,6651811.8
253196.9,6651815.7
253200.2,6651819.7
253203.8,6651823.8
253207.6,6651828.3
253210.8,6651832.2
253214.8,6651836.5
253218.2,6651840.4
253221.3,6651843.9
253224.8,6651847.8
253228.9,6651852.6
253232.6,6651856.7
253235.8,6651860.5
253239.5,6651864.5
253243.4,6651868.8
253247.3,6651872.8
253251.0,6651877.5
253254.7,6651881.8
253258.3,6651886.1
253261.1,6651889.4
253264.8,6651892.9
253267.4,6651896.2
253270.3,6651900.0
253273.8,6651904.1
253276.9,6651907.5
253280.1,6651911.5
253283.2,6651914.9
253286.6,6651918.4
253289.3,6651921.6
253292.8,6651925.4
253296.2,6651929.4
253299.3,6651933.0
253302.5,6651936.9
253305.6,6651940.3
253308.6,6651943.8
253311.2,6651947.2
253314.9,6651951.4
253318.5,6651956.0
253321.6,6651960.0
253321.6,6651960.0
253325.0,6651964.0
253326.93,6651965.7
253326.93,6651965.7
253335.2,6651975.6
253338.4,6651979.3
253341.5,6651983.0
253345.1,6651986.8
253348.9,6651991.5
253352.3,6651995.6
253356.0,6652000.1
253359.6,6652004.3
253363.6,6652009.7
253366.9,6652014.6
253369.5,6652019.0
253372.7,6652024.3
253375.4,6652029.2
253378.1,6652034.7
253380.1,6652038.9
253382.0,6652042.7
253384.0,6652046.9
253385.9,6652051.5
253387.6,6652056.2
253389.4,6652061.1
253390.6,6652064.5
253391.9,6652068.7
253393.2,6652072.8
253394.6,6652077.3
253395.7,6652081.9
253396.6,6652085.8
253397.6,6652089.7
253398.3,6652093.4
253399.3,6652097.8
253400.4,6652101.8
253401.1,6652105.2
253402.5,6652109.6
253403.8,6652113.3
253405.6,6652117.3
253407.3,6652120.3
253409.1,6652123.0
253410.6,6652125.1
253411.9,6652127.0
253413.3,6652128.4
253415.1,6652130.0
253416.53,6652131.06
253416.53,6652131.06
253419.1,6652132.8
253421.3,6652134.1
253422.7,6652134.7
