x,y
253020.0,6651488.0
253022.6,6651487.5
253026.7,6651486.7
253030.3,6651486.4
253034.0,6651486.2
253037.1,6651486.2
253037.1,6651486.2
253040.3,6651486.4
253044.2,6651487.1
253048.1,6651488.0
253051.2,6651489.1
253054.8,6651490.9
253058.3,6651493.2
253061.3,6651495.6
253064.4,6651498.2
253067.3,6651501.0
253070.0,6651503.7
253072.5,6651506.4
253075.3,6651509.5
253078.0,6651512.8
253081.4,6651517.2
253084.2,6651520.5
253086.6,6651523.4
253089.3,6651526.9
253092.1,6651530.3
253094.8,6651533.8
253097.5,6651537.2
253100.3,6651540.5
253102.6,6651543.0
253104.8,6651545.6
253107.4,6651548.8
253109.6,6651551.8
253112.0,6651554.6
253114.6,6651557.6
253117.1,6651560.8
253119.7,6651563.8
253122.2,6651566.8
253125.1,6651570.7
253127.3,6651573.3
253130.1,6651576.7
253133.0,6651580.0
253135.7,6651583.3
253135.7,6651583.3
253138.5,6651586.5
253141.8,6651590.0
253144.9,6651593.5
253147.9,6651596.8
253151.1,6651600.1
253153.7,6651603.1
253156.4,6651606.5
253159.5,6651609.7
253161.9,6651612.8
253164.7,6651616.2
253166.9,6651618.9
253169.4,6651621.7
253171.8,6651624.5
253173.9,6651627.0
253176.6,6651630.1
253179.4,6651633.3
253183.0,6651637.4
253185.7,6651640.7
253188.7,6651644.3
253191.6,6651647.4
253194.5,6651651.0
253197.5,6651654.6
253200.0,6651657.9
253202.5,6651660.5
253205.1,6651663.5
253208.2,6651666.6
253210.8,6651669.7
253213.5,6651673.1
253216.3,6651676.3
253218.7,6651679.1
253221.2,6651681.5
253223.8,6651684.5
253226.3,6651687.4
253229.0,6651690.6
253231.4,6651693.4
253234.1,6651696.4
253236.5,6651699.2
253238.5,6651701.4
253240.7,6651704.1
253243.0,6651706.7
253245.2,6651709.6
253248.0,6651712.6
253249.9,6651714.9
253252.4,6651717.6
253254.3,6651719.7
253256.3,6651722.1
253258.2,6651724.6
253260.1,6651726.7
253261.9,6651729.0
253263.7,6651731.3
253265.7,6651733.4
253267.7,6651735.5
253269.4,6651737.5
253271.9,6651740.1
253273.2,6651741.7
253275.3,6651744.1
253278.2,6651747.4
253281.0,6651750.7
253283.3,6651753.5
253286.0,6651756.5
253287.9,6651759.0
253290.4,6651761.7
253293.0,6651764.6
253295.0,6651767.2
253298.3,6651771.1
253301.2,6651774.4
253304.1,6651777.7
253307.0,6651780.8
253309.3,6651783.4
253311.8,6651786.3
253314.6,6651789.4
253317.4,6651792.8
253320.6,6651796.2
253322.7,6651799.2
253324.7,6651801.3
253327.3,6651803.9
253329.6,6651807.1
253332.6,6651810.5
253335.1,6651813.3
253337.6,6651816.2
253340.0,6651818.7
253342.7,6651821.8
253345.8,6651825.6
253348.8,6651829.2
253352.1,6651833.1
253354.7,6651835.9
253357.5,6651839.2
253360.4,6651842.1
253363.3,6651845.3
253365.7,6651848.2
253368.3,6651850.9
253370.7,6651853.5
253373.1,6651856.5
253375.6,6651859.3
253377.8,6651861.7
253380.3,6651864.4
253382.4,6651867.0
253384.8,6651870.1
253384.8,6651870.1
253386.8,6651872.7
253387.432,6651873.684
253387.432,6651873.684
253390.1,6651877.1
253391.3,6651879.0
253392.4,6651881.5
253393.7,6651884.2
253395.0,6651887.7
253396.0,6651890.7
253397.0,6651893.5
253398.2,6651897.2
253399.3,6651900.8
253400.3,6651904.0
253401.7,6651907.8
253402.7,6651911.5
253403.6,6651914.8
253404.5,6651918.0
253405.5,6651921.1
253406.3,6651924.0
253407.0,6651926.5
253407.8,6651929.8
253408.9,6651932.7
253410.1,6651935.6
253411.3,6651938.5
253412.7,6651941.0
253414.2,6651943.5
253415.9,6651946.1
253417.4,6651948.5
253419.4,6651951.2
253421.4,6651953.7
253423.3,6651955.8
253425.8,6651958.1
253428.7,6651960.3
253431.1,6651962.0
253433.5,6651963.3
253435.8,6651964.5
253438.9,6651965.6
253442.2,6651966.6
253445.2,6651967.6
253448.9,6651968.7
253452.1,6651969.5
253454.9,6651970.3
253458.0,6651971.0
253461.454,6651971.73
253465.198,6651972.154
253465.198,6651972.154
253466.995,6651972.576
253469.1,6651972.9
